stud_id,tepsb_sex,sample,svyunit,ym,contact,cp19v01,cp19v02,cp19v05,cp19v28,cp19v29,cp19v29_1,cp19v29_2,cp19v30,cp19v31_g,cp19v31_gd,cp19v32,cp19v32_1,cp19v32_2,cp19v33v34,cp19v33v34_u,cp19v33v34_ud,cp19v35,cp19v36,cp19v37_1,cp19v37_2,cp19v37_3,cp19v37_4,cp19v37_5,cp19v37_6,cp19v37_7,cp19v37_8,cp19v37_9,cp19v38,cp19v39,cp19v40,cp19v41,cp19v42,cp19v43_1_k1,cp19v43_1_k2,cp19v43_2_k1,cp19v43_2_k2,cp19v43_2_k3,cp19v43_2_k4,cp19v43_3_k1,cp19v43_3_k2,cp19v43_4_k1,cp19v43_4_k2,cp19v43_4_k3,cp19v43_4_k4,cp19v43_A1,cp19v43_A2,cp19v43_A3,cp19v43_A4,cp19v44,cp19v45_1,cp19v45_2,cp19v45_3,cp19v45_4,cp19v45_A,cp19v46,cp19v47,cp19v48,cp19v49_1,cp19v49_2,cp19v50_k1,cp19v50_k2,cp19v50_k3,cp19v51,cp19v52,cp19v53,cp19v54,cp19v55,cp19v56,cp19v57,cp19v57_1,cp19v58,cp19v59,cp19v60,cp19v61,cp19v62,cp19v63,cp19v63_k,cp19v64,cp19v65,cp19v66,cp19v66_k,cp19v67,cp19v68,cp19v69,cp19v70,cp19v71,cp19v72,cp19v73,cp19v74,cp19v75,cp19v76,cp19v76_k,cp19v77,cp19v78,cp19v78_k,cp19v79,cp19v79_1,cp19v79_2,cp19v80_1,cp19v80_2,cp19v80_3,cp19v80_4,cp19v80_5,cp19v80_6,cp19v80_7,cp19v80_8,cp19v80_9,cp19v80_10,cp19v80_11,cp19v80_12,cp19v80_13,cp19v80_14,cp19v81,cp19v82,cp19v83,cp19v84,cp19v30_x,cp19v31_g_x,cp19v31_gd_x,cp19v32_x,cp19v32_1_x,cp19v32_2_x,cp19v33v34_u_x,cp19v33v34_ud_x,cp19v35_x,cp19v36_x,cp19v69_x,cp19v71_x,cp19v72_x,cp19v73_x,cp19v74_x,cp19v75_x,cp19v76_x,cp19v76_k_x,cp19v77_x,cp19v78_x,cp19v78_k_x
16442,2,1,1,10902,0,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,996,96,996,96,996,96,996,96,996,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,996,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,96,996,96, ,96,96,96,96,96,96,996,96,9996,96,9999,996,96, ,96,999,999,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,996,96, 
03716,2,1,1,10904,2,1,2,15,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,3,1,999,99,999,99,999,99,999,99,102,6,108,8,11,6,17,8,3,99,6,99,99,6,99,99,99,99,3,994,994,994,3,3,1,3,2,99,1,99,2,5,60,97,42,2,9999,97,43,7, ,4,2,99,3,99,99,999,99,9999,99,9999,999,99, ,2,999,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,157,58,6,99,99,1,6,4,6,3,99,99,9,1,2,48,6,42,2,9999,50,96, 
19428,2,1,1,10902,0,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,996,96,996,96,996,96,996,96,996,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,996,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,96,996,96, ,96,96,96,96,96,96,996,96,9996,96,9999,996,96, ,96,999,999,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,996,96, 
18947,1,1,1,10902,2,1,1,8,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,14,99,99,97,3,999,99,999,99,999,99,999,99,999,99,6,3,95,95,4,99,99,6,99,6,1,2,15,1,99,2,1,1,4,3,1,1,2,99,1,99,2,5,47,1,52,2,9999,16,40,7, ,5,2,99,4,99,99,999,99,9999,99,9999,999,99, ,97,999,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,167,105,5,99,99,1,6,4,8,4,99,99,11,1,96,47,3,74,96,9999,40,4, 
03388,1,8,8, ,8,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,996,96,996,96,996,96,996,96,996,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,996,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,96,996,96, ,96,96,96,96,96,96,996,96,9996,96,9999,996,96, ,96,999,999,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,996,96, 
07998,1,1,1,10903,2,1,1,8,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,12,99,99,103,97,999,99,999,99,999,99,999,99,999,99,12,97,95,95,1,99,99,2,99,2,1,4,12,3,99,2,1,1,4,1,1,2,2,99,1,99,2,5,25,7,82,2,9999,15,40,7, ,5,2,99,9,99,99,999,99,9999,99,9999,999,99, ,2,999,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,180,100,1,99,99,1,2,1,99,99,99,99,6,1,1,98,97,0,2,9999,997,96, 
01258,1,1,1,10902,2,1,1,8,1,1,6,4,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,12,99,99,104,2,999,99,999,99,999,99,999,99,999,99,13,2,95,95,1,99,99,7,99,7,1,2,15,96,99,996,996,996,4,1,1,96,2,99,1,99,2,8,39,2,31,1,20,13,50,12, ,96,2,99,2,99,99,999,99,9999,99,9999,999,99, ,96,999,999,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,172,80,5,99,99,1,6,4,8,5,1,1,11,1,2,44,5,83,2,9999,40,96, 
03808,1,1,1,10902,2,1,1,8,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,13,99,99,104,7,999,99,999,99,999,99,999,99,999,99,13,7,95,95,1,99,99,6,99,6,1,1,99,2,99,2,994,994,4,3,1,2,2,99,2,99,99,2,46,2,52,1,2,5,84,10, ,5,1,99,99,99,99,999,99,9999,99,9999,999,99, ,2,999,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,168,80,5,99,99,1,7,5,9,8,99,99,99,99,99,999,99,9999,99,9999,999,99, 
07047,2,1,1,10903,0,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,996,96,996,96,996,96,996,96,996,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,996,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,96,996,96, ,96,96,96,96,96,96,996,96,9996,96,9999,996,96, ,96,999,999,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,996,96, 
09490,2,1,1,10903,0,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,996,96,996,96,996,96,996,96,996,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,996,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,96,996,96, ,96,96,96,96,96,96,996,96,9996,96,9999,996,96, ,96,999,999,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,996,96, 
05573,1,1,1,10902,2,1,1,5,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,1,99,999,99,999,99,999,99,97,4,999,99,999,99,6,4,95,95,4,8,99,99,99,8,99,99,99,99,2,2,1,1,3,3,1,2,2,99,1,99,2,8,39,4,21,1,3,12,45,20, ,2,2,10,2,1,2,70,4,21,2,9999,50,9, ,2,999,999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,176,83,7,1,5,1,8,8,1,5,99,99,10,1,2,70,4,21,2,9999,50,9, 
16066,1,1,1,10903,2,1,1,2,2,99,99,99,7,11,3,1,11,11,4,11,3,1,2,0,0,0,0,0,0,1,0,0,2,99,99,3,1,999,99,999,99,999,99,999,99,107,2,108,1,16,2,17,1,2,99,7,99,99,7,99,99,99,99,2,2,994,994,4,1,1,2,2,99,1,99,2,5,76,4,33,1,8,17,55,8, ,4,2,11,4,1,2,44,3,33,2,9999,40,15, ,1,46,999,0,1,0,1,1,1,1,1,1,1,0,0,0,0,2,1,165,75,7,11,3,1,11,11,11,3,1,2,11,1,2,44,3,33,2,9999,40,15, 
05549,1,1,1,10902,1,1,1,2,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,96,96,996,96,996,96,996,96,996,96,996,96,996,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,996,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,96,996,96, ,96,96,96,96,96,96,996,96,9996,96,9999,996,96, ,96,999,999,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,7,1,5,1,8,8,6,5,99,99,96,96,96,996,96,9996,96,9999,996,96, 
11145,1,1,1,10902,2,1,1,7,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,12,99,99,103,10,999,99,999,99,999,99,999,99,999,99,12,10,95,95,1,99,99,7,99,7,1,2,14,1,99,3,994,994,1,3,1,2,2,99,1,99,1,16,98,9,54,2,9999,12,40,15, ,2,1,99,99,99,99,999,99,9999,99,9999,999,99, ,2,999,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,171,62,6,99,99,1,6,4,1,8,99,99,99,99,99,999,99,9999,99,9999,999,99, 
13481,1,1,1,10904,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,996,96,996,96,996,96,996,96,996,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,996,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,96,996,96, ,96,96,96,96,96,96,996,96,9996,96,9999,996,96, ,96,999,999,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,996,96, 
03720,2,1,2,10901,2,1,2,10,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,3,2,999,99,999,99,999,99,999,99,999,99,999,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,4,0,0,0,3,3,1,2,2,99,1,99,2,8,45,98,33,2,9999,16,40,6, ,2,2,99,98,99,99,999,99,9999,99,9999,999,99, ,2,999,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,162,85,5,99,99,1,7,4,9,3,99,99,10,1,96,92,5,41,96,9999,48,4, 
12308,2,1,1,10904,2,3,2,8,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,14,99,99,999,99,999,99,999,99,999,99,999,99,999,99,99,99,99,99,99,99,99,7,99,7,1,2,15,99,99,999,999,999,5,2,2,99,2,1,99,1,2,6,18,2,35,2,9999,11,40,5, ,99,2,99,4,99,99,999,99,9999,99,9999,999,99, ,99,999,999,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,168,49,4,99,99,1,4,4,5,8,99,99,5,2,99,44,3,93,2,9999,40,96, 
